"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Industry","0.0","Industry-{DBPedia_4407+Forbes_1199+SBTI_5678}","DBPedia_4407+Forbes_1199+SBTI_5678","{[, Metals, , Mining, ]|[, Materials, ]|[]}","[, Mining, Metals, Materials]",,
"Industry","0.0","Industry-{DBPedia_10208+Forbes_731+SBTI_4897}","DBPedia_10208+Forbes_731+SBTI_4897","{[, Real estate investment trust, ]|[, Diversified Financials, ]|[]}","[, Real estate investment trust, Diversified Financials]",,
"Industry","0.0","Industry-{DBPedia_6924+Forbes_1104}","DBPedia_6924+Forbes_1104","{[, Petroleum industry, ]|[, Oil & Gas Operations, ]}","[, Oil & Gas Operations, Petroleum industry]",,
"Industry","0.0","Industry-{DBPedia_9498+Forbes_411}","DBPedia_9498+Forbes_411","{[, Aerospace manufacturer, , Arms industry, , Information security, ]|[, Aerospace & Defense, ]}","[, Aerospace & Defense, Information security, Arms industry, Aerospace manufacturer]",,
"Industry","0.0","Industry-{DBPedia_2093+Forbes_1007}","DBPedia_2093+Forbes_1007","{[, Banking, , Financial services, ]|[, Banking, ]}","[, Banking, Financial services]",,
"Industry","0.0","Industry-{Forbes_171+SBTI_1703}","Forbes_171+SBTI_1703","{[, Oil & Gas Operations, ]|[]}","[, Oil & Gas Operations]",,
"Industry","0.0","Industry-{DBPedia_9062+SBTI_2488}","DBPedia_9062+SBTI_2488","{[, Powder metallurgy, ]|[]}","[, Powder metallurgy]",,
"Industry","0.0","Industry-{DBPedia_9584+Forbes_1764}","DBPedia_9584+Forbes_1764","{[]|[, IT Software & Services, ]}","[, IT Software & Services]",,
"Industry","0.0","Industry-{DBPedia_9591+SBTI_213}","DBPedia_9591+SBTI_213","{[, Footwear, ]|[]}","[, Footwear]",,
"Industry","0.0","Industry-{DBPedia_4402+SBTI_4634}","DBPedia_4402+SBTI_4634","{[, Steel, ]|[]}","[, Steel]",,
"Industry","0.0","Industry-{DBPedia_4399+SBTI_4554}","DBPedia_4399+SBTI_4554","{[, Mechanical engineering, ]|[]}","[, Mechanical engineering]",,
"Industry","0.0","Industry-{DBPedia_3116+SBTI_246}","DBPedia_3116+SBTI_246","{[, Insurance, ]|[]}","[, Insurance]",,
"Industry","0.0","Industry-{DBPedia_642+Forbes_15}","DBPedia_642+Forbes_15","{[, Energy industry, ]|[, Oil & Gas Operations, ]}","[, Oil & Gas Operations, Energy industry]",,
"Industry","0.0","Industry-{DBPedia_4208+SBTI_3747}","DBPedia_4208+SBTI_3747","{[, Financial services, ]|[]}","[, Financial services]",,
"Industry","0.0","Industry-{DBPedia_242+SBTI_2112}","DBPedia_242+SBTI_2112","{[, Automotive industry, ]|[]}","[, Automotive industry]",,
"Industry","1.0","Industry-{DBPedia_1054+SBTI_2583}","DBPedia_1054+SBTI_2583","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_5587+Forbes_901}","DBPedia_5587+Forbes_901","{[]|[, Food Markets, ]}","[, Food Markets]",,
"Industry","1.0","Industry-{DBPedia_9150+SBTI_4434}","DBPedia_9150+SBTI_4434","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_3735+SBTI_263}","DBPedia_3735+SBTI_263","{[, Banking, ]|[]}","[, Banking]",,
"Industry","0.0","Industry-{DBPedia_8040+SBTI_1908}","DBPedia_8040+SBTI_1908","{[, Packaging and labeling, , Printing, ]|[]}","[, Printing, Packaging and labeling]",,
"Industry","0.0","Industry-{DBPedia_2273+SBTI_900}","DBPedia_2273+SBTI_900","{[, Food processing, ]|[]}","[, Food processing]",,
"Industry","0.0","Industry-{DBPedia_5241+SBTI_4404}","DBPedia_5241+SBTI_4404","{[, Hospitality industry, ]|[]}","[, Hospitality industry]",,
"Industry","0.0","Industry-{Forbes_732+SBTI_2643}","Forbes_732+SBTI_2643","{[, Banking, ]|[]}","[, Banking]",,
"Industry","0.0","Industry-{DBPedia_4856+SBTI_569}","DBPedia_4856+SBTI_569","{[, Aerospace, , Packaging, ]|[]}","[, Aerospace, Packaging]",,
"Industry","1.0","Industry-{DBPedia_8791+SBTI_2406}","DBPedia_8791+SBTI_2406","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_2860+Forbes_491}","DBPedia_2860+Forbes_491","{[, Drink, , Retail, ]|[, Food, Drink & Tobacco, ]}","[, Retail, Food, Drink & Tobacco, Drink]",,
"Industry","0.0","Industry-{DBPedia_8088+Forbes_612+SBTI_3411}","DBPedia_8088+Forbes_612+SBTI_3411","{[, Hospitality industry, ]|[, Hotels, Restaurants & Leisure, ]|[]}","[, Hotels, Restaurants & Leisure, Hospitality industry]",,
"Industry","0.0","Industry-{DBPedia_10101+DBPedia_845+Forbes_565+SBTI_3402}","DBPedia_10101+DBPedia_845+Forbes_565+SBTI_3402","{[, Entertainment industry, , Toy industry, ]|[, Food processing, ]|[, Insurance, ]|[]}","[, Entertainment industry, Insurance, Food processing, Toy industry]",,
"Industry","0.0","Industry-{DBPedia_7530+Forbes_650}","DBPedia_7530+Forbes_650","{[, Direct reduced iron, , Iron ore, , Steel, ]|[, Materials, ]}","[, Direct reduced iron, Materials, Steel, Iron ore]",,
"Industry","0.0","Industry-{DBPedia_7848+SBTI_57}","DBPedia_7848+SBTI_57","{[, Retail, ]|[]}","[, Retail]",,
"Industry","0.0","Industry-{DBPedia_8549+Forbes_58}","DBPedia_8549+Forbes_58","{[, Bank, , Financial services, ]|[, Banking, ]}","[, Bank, Banking, Financial services]",,
