"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","1.0","Company name-{DBPedia_7385+Forbes_968}","DBPedia_7385+Forbes_968","{Quest Diagnostics|Quest Diagnostics}","Quest Diagnostics",,
"Company name","0.0","Company name-{DBPedia_2709+SBTI_1348}","DBPedia_2709+SBTI_1348","{Damen Group|Danieli Group}","Damen Group",,
"Company name","1.0","Company name-{DBPedia_9584+Forbes_1764}","DBPedia_9584+Forbes_1764","{Akamai Technologies|Akamai Technologies}","Akamai Technologies",,
"Company name","1.0","Company name-{DBPedia_6487+Forbes_795}","DBPedia_6487+Forbes_795","{Constellation Energy|Constellation Energy}","Constellation Energy",,
"Company name","1.0","Company name-{DBPedia_1571+SBTI_1345}","DBPedia_1571+SBTI_1345","{Dana Incorporated|Dana Incorporated}","Dana Incorporated",,
"Company name","1.0","Company name-{DBPedia_7553+Forbes_818+SBTI_5102}","DBPedia_7553+Forbes_818+SBTI_5102","{Stora Enso|Stora Enso|Stora Enso}","Stora Enso",,
"Company name","1.0","Company name-{DBPedia_4130+SBTI_1488}","DBPedia_4130+SBTI_1488","{DocuSign|DocuSign}","DocuSign",,
"Company name","1.0","Company name-{DBPedia_7530+Forbes_650}","DBPedia_7530+Forbes_650","{Cleveland-Cliffs|Cleveland-Cliffs}","Cleveland-Cliffs",,
"Company name","1.0","Company name-{DBPedia_9369+Forbes_385}","DBPedia_9369+Forbes_385","{Eneos Holdings|ENEOS Holdings}","Eneos Holdings",,
"Company name","1.0","Company name-{Forbes_6+SBTI_267}","Forbes_6+SBTI_267","{Amazon|Amazon}","Amazon",,
"Company name","1.0","Company name-{DBPedia_2898+SBTI_2458}","DBPedia_2898+SBTI_2458","{Hilton Food Group|Hilton Food Group}","Hilton Food Group",,
"Company name","1.0","Company name-{DBPedia_3171+Forbes_579}","DBPedia_3171+Forbes_579","{Raymond James Financial|Raymond James Financial}","Raymond James Financial",,
"Company name","1.0","Company name-{DBPedia_4040+SBTI_5355}","DBPedia_4040+SBTI_5355","{Tetra Tech|Tetra Tech}","Tetra Tech",,
"Company name","0.0","Company name-{Forbes_1024+SBTI_320}","Forbes_1024+SBTI_320","{Anta Sports Products|ANTA Sports Products Limited}","Anta Sports Products",,
"Company name","1.0","Company name-{DBPedia_1362+SBTI_2101}","DBPedia_1362+SBTI_2101","{Genpact|Genpact}","Genpact",,
"Company name","1.0","Company name-{DBPedia_7271+Forbes_639}","DBPedia_7271+Forbes_639","{Idemitsu Kosan|Idemitsu Kosan}","Idemitsu Kosan",,
"Company name","1.0","Company name-{DBPedia_5394+Forbes_1629}","DBPedia_5394+Forbes_1629","{CrowdStrike|CrowdStrike}","CrowdStrike",,
"Company name","1.0","Company name-{DBPedia_9138+Forbes_907+SBTI_4735}","DBPedia_9138+Forbes_907+SBTI_4735","{Seagate Technology|Seagate Technology|Seagate Technology}","Seagate Technology",,
"Company name","1.0","Company name-{DBPedia_955+Forbes_51}","DBPedia_955+Forbes_51","{Intel|Intel}","Intel",,
