"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","0.6666666666666666","Company name-{DBPedia_2836+Forbes_1448+SBTI_5990}","DBPedia_2836+Forbes_1448+SBTI_5990","{Wistron|Wistron|Wistron Corporation}","Wistron",,
"Company name","0.0","Company name-{Forbes_1410+SBTI_2992}","Forbes_1410+SBTI_2992","{Kesko|Kesko Corporation}","Kesko",,
"Assets","0.0","Assets-{DBPedia_9653+Forbes_1925}","DBPedia_9653+Forbes_1925","{3.247|3.25}","3.2485",,
"Assets","1.0","Assets-{Forbes_914}","Forbes_914","{18.22}","18.22",,
"Assets","1.0","Assets-{Forbes_1865}","Forbes_1865","{8.95}","8.95",,
"Profit","0.0","Profit-{DBPedia_6934+Forbes_894}","DBPedia_6934+Forbes_894","{426658304|1020000000}","1020000000",,
"Assets","0.0","Assets-{DBPedia_2701+Forbes_300}","DBPedia_2701+Forbes_300","{57.34|57.58}","57.46",,
"Year Founded","0.0","Year Founded-{DBPedia_2522+Forbes_1622}","DBPedia_2522+Forbes_1622","{2011|2010}","2010",,
"Profit","1.0","Profit-{Forbes_929}","Forbes_929","{2000000000}","2000000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_848+Forbes_1444+SBTI_3007}","DBPedia_848+Forbes_1444+SBTI_3007","{Kimco Realty|Kimco Realty|Kimco Realty Corporation}","Kimco Realty",,
"Company name","1.0","Company name-{Forbes_48+SBTI_527}","Forbes_48+SBTI_527","{AXA Group|AXA Group}","AXA Group",,
"Revenue","1.0","Revenue-{Forbes_1380}","Forbes_1380","{29930000000}","29930000000",,
"Revenue","0.0","Revenue-{DBPedia_3+Forbes_211}","DBPedia_3+Forbes_211","{21800000000|22660000000}","22660000000",,
"Revenue","0.0","Revenue-{DBPedia_4924+Forbes_1009}","DBPedia_4924+Forbes_1009","{10420000000|10900000000}","10900000000",,
"Company name","0.0","Company name-{Forbes_440+SBTI_3901}","Forbes_440+SBTI_3901","{Norfolk Southern|Norfolk Southern Corporation}","Norfolk Southern",,
"Profit","0.0","Profit-{DBPedia_9618+Forbes_963}","DBPedia_9618+Forbes_963","{1396000000|1330000000}","1396000000",,
"Revenue","0.0","Revenue-{DBPedia_3546+Forbes_1504}","DBPedia_3546+Forbes_1504","{5627000000|5620000000}","5627000000",,
