"RecordIDS","AverageConsistency","Year Founded-Consistency","Year Founded-Values","Revenue-Consistency","Revenue-Values","Assets-Consistency","Assets-Values","Profit-Consistency","Profit-Values","Company name-Consistency","Company name-Values","Industry-Consistency","Industry-Values","Net Zero Committed Year-Consistency","Net Zero Committed Year-Values","Country-Consistency","Country-Values"
"DBPedia_27+Forbes_882+SBTI_4357","0.19047619047619047","0.0","{1903|1903}","0.0","{9696000000|8730000000}","0.0","{47.73|49.0}","0.0","{1438000000|-650000000}","0.6666666666666666","{Public Service Enterprise Group|Public Service Enterprise Group|Public Service Enterprise Group Inc. (PSEG)}","0.6666666666666666","{[, Utilities, ]|[, Utilities, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_1562+Forbes_42+SBTI_1311","0.4583333333333333","0.0","{1963|1963}","0.0","{292110000000|291980000000}","0.0","{232.99|240.5}","1.0","{7910000000|7910000000}","1.0","{CVS Health|CVS Health|CVS Health}","0.0","{[, Health insurance in the United States, , Managed care, , Pharmacy (shop), ]|[, Retailing, ]|[]}","1.0","{2050}","0.6666666666666666","{United States|United States|United States of America (USA)}"
"Forbes_386+SBTI_5268","0.7142857142857143","1.0","{1968}","1.0","{25740000000}","1.0","{18.68}","1.0","{5140000000}","0.0","{Tata Consultancy Services|Tata Consultancy Services Limited}","0.0","{[, IT Software & Services, ]|[]}",,,"1.0","{India|India}"
"DBPedia_3985+Forbes_1459+SBTI_1534","0.47619047619047616","0.0","{1960|1972}","0.0","{1580000000|1110000000}","1.0","{10.45}","1.0","{850000000}","0.6666666666666666","{Duane Reade|Duke Realty|Duke Realty}","0.0","{[, Retail, ]|[, Diversified Financials, ]|[]}",,,"0.6666666666666666","{United States|United States|United States of America (USA)}"
"Forbes_1977+SBTI_2830","0.7142857142857143","1.0","{0}","1.0","{2000000000}","1.0","{47.44}","1.0","{430000000}","0.0","{JB Financial Group|JB Financial Group Co., Ltd.}","0.0","{[, Banking, ]|[]}",,,"1.0","{South Korea|South Korea}"
"DBPedia_5557+Forbes_69+SBTI_2088","0.14285714285714285","0.0","{2009|1908}","0.0","{127004000000|127000000000}","0.0","{244.718|244.72}","0.0","{9945000000|10020000000}","1.0","{General Motors|General Motors|General Motors}","0.0","{[, Automotive industry, ]|[, Consumer Durables, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_4077+DBPedia_512+DBPedia_5917+DBPedia_5939+DBPedia_6954+Forbes_1364+Forbes_462+SBTI_452","0.14795918367346936","0.0","{1949|1960|1892|1999|1929|1892|1999}","0.2857142857142857","{22900000000|180100000|10190000000|37417000000|2819328000|10190000000|38680000000}","0.0","{33.91|105.363|27.73|105.36}","0.0","{1370000000|115000000|91534182|450000000|90000000}","0.375","{Asda|ASMAR|Assurant|AstraZeneca|Astaldi|Assurant|AstraZeneca|AstraZeneca}","0.375","{[]|[, Arms Industry, , Engineering, , Shipbuilding, ]|[, Insurance, ]|[, Biotechnology, , Pharmaceutical industry, ]|[]|[, Insurance, ]|[, Drugs & Biotechnology, ]|[]}",,,"0.0","{Chile|United States|United Kingdom|United Kingdom (UK)}"
"DBPedia_450+Forbes_122+SBTI_163","0.2857142857142857","0.0","{1970|1970}","0.0","{49009318400|61640000000}","0.0","{100.6030208|129.16}","0.0","{3918865920|4980000000}","1.0","{Airbus|AIRBUS|Airbus}","0.0","{[, Aerospace manufacturer, , Arms industry, ]|[, Aerospace & Defense, ]|[]}",,,"1.0","{Netherlands|Netherlands}"
"DBPedia_3560+DBPedia_3631+DBPedia_5395+DBPedia_8422+Forbes_1992+Forbes_312+SBTI_3439","0.061224489795918366","0.0","{1783|1920|1986|1985|2009|1985}","0.0","{1481|500000000|2391000000|3200000000|2980000000|11210000000}","0.0","{2.976|5.06|251.79}","0.0","{487000000|188000000|280000000|2960000000}","0.42857142857142855","{Man Group|Mack Group|Match Group|Max Group|Match Group|Macquarie Group|Match Group}","0.0","{[, Financial services, ]|[, Contract manufacturing, , Plastic, ]|[, Online dating service, ]|[, Conglomerate (company), ]|[, IT Software & Services, ]|[, Diversified Financials, ]|[]}",,,"0.0","{United States|Australia|United States of America (USA)}"
"Forbes_400+SBTI_2873","0.7142857142857143","1.0","{1885}","1.0","{24190000000}","1.0","{42.22}","1.0","{1570000000}","0.0","{Johnson Controls International|Johnson Controls International plc}","0.0","{[, Business Services & Supplies, ]|[]}",,,"1.0","{Ireland|Ireland}"
