UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_617,http://dbpedia.org/resource/D'Angelo_Grilled_Sandwiches,D'Angelo Grilled Sandwiches,Restaurants,"Tom Sterrett - CEO, Corey Wendland - CFO, Deena McKinley - CXO, Kevin Bentley - VP of Technology & Automation",,,244000000,,,1967.0,,"Tom Sterrett - CEO, Corey Wendland - CFO, Deena McKinley - CXO, Kevin Bentley - VP of Technology & Automation"
DBPedia_618,http://dbpedia.org/resource/Agronic_Oy,Agronic Oy,Heavy equipment,,Erkki Kivelä,,7,,,1993.0,,
DBPedia_619,http://dbpedia.org/resource/TDG_Limited,TDG Limited,"Logistics, Supply chain management","Mike Branigan, CEO",,,662100000,,,1922.0,,"Mike Branigan, CEO"
DBPedia_620,http://dbpedia.org/resource/Adamo_Demolition,Adamo Demolition,Demolition,Richard Adamo Rick Cuppetilli Tim Gunn,,,48000000,,,1964.0,,Richard Adamo Rick Cuppetilli Tim Gunn
DBPedia_621,http://dbpedia.org/resource/UFP_Industries,UFP Industries,"Engineered wood product, Flooring, Joist, Pressure-treated lumber, Trusses, Wall panel","Matt Missad, CEO, Patrick Webster, President, COO, William Currie, Chairman",,,8600000000,,,1955.0,,"Matt Missad, CEO, Patrick Webster, President, COO, William Currie, Chairman"
DBPedia_622,http://dbpedia.org/resource/LayerOne,LayerOne,Internet,"Alexander Muse, Entrepreneur",,,10800000,,,1999.0,,"Alexander Muse, Entrepreneur"
DBPedia_623,http://dbpedia.org/resource/A4e,A4e,Training,--02-24,,,145,,,1991.0,,--02-24
DBPedia_624,http://dbpedia.org/resource/Emsa_(household_goods),Emsa (household goods),,"Ewald Ure, Frank Schepers,, Franz-Jörg Wulf,, Günter Nosthoff,",,,43229696,,,1949.0,,"Ewald Ure, Frank Schepers,, Franz-Jörg Wulf,, Günter Nosthoff,"
DBPedia_625,http://dbpedia.org/resource/APCO_Worldwide,APCO Worldwide,,"Margery Kraus, founder and executive chairman; Brad Staples, CEO",,,119900000,,,1984.0,,"Margery Kraus, founder and executive chairman; Brad Staples, CEO"
DBPedia_626,http://dbpedia.org/resource/Ador_Welding,Ador Welding,,Mr. Aditya T. Malkani,,,70000000,,,1951.0,,Mr. Aditya T. Malkani
DBPedia_627,http://dbpedia.org/resource/Harmons,Harmons,Retailer,,,,850000000,,,1932.0,,
DBPedia_628,http://dbpedia.org/resource/Titus_Interactive,Titus Interactive,Video game industry,,,,68791603,,,1985.0,,
DBPedia_629,http://dbpedia.org/resource/Kronospan,Kronospan,,,,,3759104000,,,1897.0,,
DBPedia_630,http://dbpedia.org/resource/Babcock_&_Brown,Babcock & Brown,,,,,1290000000,,,1977.0,,
DBPedia_631,http://dbpedia.org/resource/Macedonian_Thrace_Brewery,Macedonian Thrace Brewery,,,,Greece,22520200,22360813.0,2603419.0,,,
DBPedia_632,http://dbpedia.org/resource/Wheels_Up,Wheels Up,Air Transport,"Kenny Dichter, Ravi Thakran, Vinayak Hegde",,,1190000000,1980000000.0,-190000000.0,,,"Kenny Dichter, Ravi Thakran, Vinayak Hegde"
DBPedia_633,http://dbpedia.org/resource/Azul_Brazilian_Airlines,Azul Brazilian Airlines,Air Transport,"Abhi Shah, Alexandre Malfitani, David Neeleman, Flávio Costa, John Rodgerson",,,9,,945.0,,,"Abhi Shah, Alexandre Malfitani, David Neeleman, Flávio Costa, John Rodgerson"
DBPedia_634,http://dbpedia.org/resource/Bulgaria_Air,Bulgaria Air,Air Transport,", Hristo Todorov, Yanko Georgiev",,,139462758,,1691596.0,,,", Hristo Todorov, Yanko Georgiev"
